Crop_Name,Growing_Duration,Season,Fertilizer_Application,Pesticides_Used,Cultivation_Guide
Rice (Chawal),120-150 days,"Kharif (June-July), Rabi (Oct-Nov)","N:120 kg/ha, P2O5:60 kg/ha, K2O:40 kg/ha. Apply FYM 12.5 t/ha. Split N in 3 doses: 50% basal, 25% tillering, 25% panicle initiation. Full P&K as basal",Herbicides: Propanil 2kg/ha at 20 DAS. Insecticides: Carbofuran 3CG 33kg/ha for stem borer. Fungicides: Carbendazim for blast,Transplant 18-22 day old seedlings at 15x10cm spacing. Maintain 5cm water level. Treat seeds with Azospirillum. Apply zinc sulphate 0.5% if deficient
Maize (Corn/Makka),90-110 days,"Kharif (June-July), Rabi (Oct-Nov), Spring (Feb-Mar)","N:150 kg/ha, P2O5:75 kg/ha, K2O:75 kg/ha. Apply FYM 12.5 t/ha. Half N and full P,K as basal at sowing. Remaining N at tasseling stage","Herbicides: Atrazine 50% WP 400g + Tembotrione 115ml/acre at 20-25 DAS. Insecticides: Carbofuran 33kg/ha for shoot fly, Chlorpyriphos for stem borer","Spacing: 60x25cm. Seed rate: 20-25 kg/ha. Treat seeds with Carbofuran + Carbendazim + Azospirillum. Irrigate at critical stages: knee-high, tasseling, grain filling"
Chickpea (Gram/Chana),95-105 days,Rabi (October-November),"N:20-30 kg/ha, P2O5:40-60 kg/ha, K2O:17-30 kg/ha. Apply FYM 5 t/ha. All as basal dose. Foliar spray of 2% urea at flowering","Seed treatment: Thiram 2g + Carbendazim 1g/kg. Insecticides: Endosulfan 0.07%, NPV 250 LE/ha for pod borer. Spray 5% NSKE for IPM",Spacing: 30x10cm. Seed rate: 30-70 kg/ha based on seed size. Treat with Rhizobium 200g/8kg + PSB. One irrigation at pod initiation. Sow in October
Kidney Beans (Rajma),100-140 days,"Rabi (October-November), Spring (February-March)","N:20-25 kg/ha, P2O5:40-50 kg/ha, K2O:20-30 kg/ha. Avoid excessive N. Apply balanced 5-10-10 NPK at planting. Beans fix their own nitrogen",Seed treatment: Thiram or Captan 3g/kg. Insecticides: Imidacloprid for aphids. Use organic neem oil. Avoid chemical overuse,"Spacing: Bush type 45x10cm, Vine type 60x15cm. Seed depth: 3-4cm. Plant after last frost. Provide trellis for vine varieties. Water regularly but avoid waterlogging"
Pigeon Peas (Tur/Arhar),150-180 days,Kharif (June-July),"N:25-30 kg/ha, P2O5:40-50 kg/ha, K2O:30 kg/ha as basal. Apply FYM 5-10 t/ha. Zinc 3 kg/ha, Sulphur 20 kg/ha in deficient soils",Seed treatment: Thiram 2g + Carbendazim 1g/kg + Rhizobium. Herbicides: Pendimethalin 0.75-1 kg/ha pre-emergence. Insecticides for pod borer,"Spacing: 60x20cm. Seed rate: 15-20 kg/ha. Inoculate with Rhizobium + PSB. Irrigate at branching (30 DAS), flowering (70 DAS), podding (110 DAS)"
Moth Beans (Matki),75-90 days,Kharif (July-August),"N:15-20 kg/ha, P2O5:30-40 kg/ha, K2O:15-20 kg/ha. Apply FYM 4-5 t/ha. All as basal application. Minimal nitrogen needed due to N-fixation",Seed treatment: Thiram 2g/kg. Insecticides: Quinalphos or Monocrotophos for pod borers. Herbicides: Pendimethalin pre-emergence,Spacing: 30x10cm. Seed rate: 12-15 kg/ha. Drought tolerant. Grows well in arid regions. Light irrigation at flowering improves yield
Mung Bean (Green Gram/Moong),60-70 days,"Kharif (July), Rabi (Oct), Summer (Feb-Mar)","N:15-20 kg/ha, P2O5:30-40 kg/ha, K2O:20 kg/ha. Apply SSP 100 kg/acre + Zinc Sulphate 4-6 kg/acre at sowing. Excess N not required",Seed treatment: Thiram 3g/kg + Rhizobium culture. Herbicides: Pendimethalin 30% at sowing. Insecticides: Imidacloprid for thrips and aphids,"Spacing: 30x10cm. Seed rate: 15-20 kg/ha. Seed treatment with FIR method (Fungicide-Insecticide-Rhizobium). Light irrigation at germination, flowering, pod formation"
Black Gram (Urad),70-80 days,"Kharif (July), Rabi (October)","N:20-25 kg/ha, P2O5:40-50 kg/ha, K2O:20-25 kg/ha. Apply FYM 5 t/ha. All fertilizers as basal. Rhizobium inoculation reduces N need",Seed treatment: Thiram 2.5g/kg + Rhizobium. Insecticides: Quinalphos for pod borer. Fungicides: Carbendazim for wilt and leaf spot,Spacing: 30x10cm. Seed rate: 15-20 kg/ha. Inoculate seeds with Rhizobium + PSB culture. One or two irrigations at flowering and pod development
Lentil (Masoor),110-130 days,Rabi (October-November),"N:15-20 kg/ha, P2O5:40-50 kg/ha, K2O:20 kg/ha. Apply FYM 1-2 t/ha. Sulphur 8 kg/acre. Zinc foliar spray 2% if deficient",Seed treatment: Carbendazim 2.5g/kg. Herbicides: Pendimethalin 0.75-1 kg/ha pre-emergence. Insecticides for aphids and pod borer,Spacing: 30x10cm. Seed rate: 30-40 kg/ha. Inoculate with Rhizobium leguminosarum. Avoid waterlogging. One irrigation at flowering if needed
Pomegranate (Anar),150-180 days (fruit maturity),Planting: Feb-Mar or July-Aug,"Young plants: 100g Urea + 200g SSP + 100g MOP per year. Bearing plants: 500-700g N, 200-300g P, 300-400g K per plant/year. Apply in splits. Calcium nitrate and SOP critical","Fungicides: Bordeaux mixture 1%, Copper oxychloride for diseases. Insecticides: Imidacloprid for thrips, Neem oil 0.5% for pests. Bio-fungicides like Trichoderma","Spacing: 2.5-3m. Drip irrigation recommended. Apply micronutrients (Zn, B, Fe) through fertigation. Prune regularly. Fruit bagging prevents pest damage"
Banana (Kela),12-15 months (planting to harvest),"Year-round (best: Feb-Mar, Sep-Oct)","N:200-300g, P:90-175g, K:300-450g per plant in 3-4 splits at 3rd, 5th, 7th month. Apply FYM 40-50 t/ha. Tissue culture plants need 50% extra fertilizer","Nematicides: Carbofuran 3G 50g/plant. Fungicides: Bordeaux mixture, Copper oxychloride for Sigatoka. Insecticides: Monocrotophos for pseudostem weevil",Spacing: 1.8x1.8m. Use suckers or tissue culture plants. Mulch heavily. Irrigate regularly. Desuckering and propping required. Bunches ready 100-150 days after flowering
Mango (Aam),3-5 months (flowering to harvest),"Flowering: Jan-Feb, Harvest: May-July","1st year: 100g N, 50g P, 100g K. Increase annually. 10th year+: 1000g N, 500g P, 1000g K + 50kg FYM per tree. Apply in 2 splits: monsoon and post-monsoon","Insecticides: Malathion for fruit fly, Imidacloprid for hoppers. Fungicides: Copper oxychloride for anthracnose, powdery mildew. Mancozeb for diseases",Spacing: 10x10m. Grafted plants preferred. Foliar spray of KNO3 1-2.5% for flower induction. Spray micronutrients as needed. Prune after harvest
Grapes (Angoor),140-150 days (pruning to harvest),"Back pruning: Oct-Nov, Forward pruning: Jan-Feb","Bearing vines: N:150-200g, P:100-150g, K:200-300g per vine per crop. Apply in splits based on growth stage. Fertigation with 19:19:19 + urea alternately","Fungicides: Bordeaux mixture, Mancozeb, Carbendazim for downy/powdery mildew. Insecticides: Imidacloprid for thrips, Chlorpyriphos for mealy bugs","Spacing: 3x3m (pandal), 3x1.5m (bower). Pruning twice a year. Drip irrigation essential. Apply GA3 25 ppm + Brassinosteroid 0.5 ppm for fruit development"
Watermelon (Tarbooz),70-100 days,"Nov-Dec (winter), Jan-Feb (summer)","N:55-60 kg/ha, P:55-60 kg/ha, K:55-60 kg/ha. Apply FYM 20 t/ha. P&K basal, N 30 days after sowing. Through fertigation: 200:100:100 kg NPK/ha",Seed treatment: Trichoderma 4g or Carbendazim 2g/kg. Insecticides: Malathion for beetles. Herbicides: Pendimethalin 1 kg/ha pre-emergence,Spacing: 2.5x0.9m or 1.5x0.6m for drip. Seed rate: 3.5 kg/ha. Spray Ethrel 250 ppm 4 times from 15 DAS for more female flowers. Irrigate regularly
Muskmelon (Kharbuja),70-90 days,"Nov-Jan (winter), Feb-Mar (summer)","N:50-60 kg/ha, P:40-50 kg/ha, K:50-60 kg/ha. Apply FYM 15-20 t/ha. Split application: basal and at vine growth stage",Seed treatment: Thiram 2g/kg. Insecticides: Imidacloprid for aphids. Fungicides: Mancozeb for downy mildew. Herbicides: Pendimethalin pre-emergence,Spacing: 2x1.5m or 1.5x0.6m. Seed rate: 2-2.5 kg/ha. Pinching of vine tips encourages branching. Irrigate at flowering and fruiting. Mulching beneficial
Apple,150-180 days (bloom to harvest),"Bloom: March-April, Harvest: Aug-Oct","Young trees: 200-400g N, 100-200g P, 200-400g K per year. Bearing trees: 600-900g N, 300-450g P, 600-900g K + 30-50kg FYM. Apply in splits","Fungicides: Mancozeb, Captan for scab. Insecticides: Carbaryl for codling moth, Imidacloprid for aphids. Bordeaux spray in dormant season",Spacing: 4-6m. Grafted plants on rootstocks. Requires cold climate (1000-1500 chill hours). Prune in winter. Thinning of fruits essential. Hand pollination may be needed
Orange (Santra),8-12 months (flowering to harvest),"Flowering: Feb-Mar, Harvest: Nov-Feb","1st year: 200g N, 100g P, 100g K. 6th year+: 600g N, 200g P, 300g K + 30kg FYM. Apply N in 2 splits (March & Oct), P&K in Oct only","Insecticides: Dimethoate for citrus psylla, Imidacloprid for leaf miner. Fungicides: Copper oxychloride for citrus canker. Spray micronutrient mixture quarterly","Spacing: 6x6m. Spray Zinc sulphate 0.5%, Manganese 0.05%, Iron 0.25% at new flush. Apply agricultural lime 4 kg/tree every 2-3 years in acidic soils"
Papaya (Papita),8-10 months (planting to first harvest),"Year-round (best: Sep-Oct, Feb-Mar)","N:200-250g, P:150-200g, K:250-300g per plant/year in monthly splits. Apply FYM 15-20 kg/plant/year. Foliar micronutrient spray recommended",Fungicides: Bordeaux mixture for damping off. Insecticides: Malathion for fruit fly. Rogue out virus-infected plants immediately,Spacing: 2x2m. Seed rate: 250-300g/ha. Select 1 male per 10 female plants. Irrigate frequently. Mulching reduces weeds. Fruits ready 6-8 months after flowering
Coconut (Nariyal),11-12 months (pollination to harvest),"Year-round, continuous bearing","Adult palms: 500g N, 320g P, 1200g K per palm/year in 2 splits. Apply 50kg FYM annually. Green manuring + application of compost beneficial",Insecticides: Monocrotophos for rhinoceros beetle. Fungicides: Bordeaux paste for bud rot. Root feeding of insecticides for red palm weevil,"Spacing: 7.5x7.5m (triangular). Plant during monsoon. Intercrops: banana, cocoa, pepper. Basin irrigation or drip. Remove dried fronds. Husk burial improves moisture"
Cotton (Kapash),150-180 days,Kharif (May-June),"N:120-150 kg/ha, P:60-75 kg/ha, K:60-75 kg/ha. Basal: 50kg DAP + 25kg MOP. Split N application: 30% basal, 30% at 30-35 DAS, 40% at 60-65 DAS","Seed treatment: Imidacloprid 5ml/kg. Insecticides: Profenofos for bollworms, Acetamiprid for sucking pests. Fungicides: Carbendazim for wilt",Spacing: 60-90x30-45cm. Seed rate: 10-12 kg/ha. Treat seeds with fungicide + insecticide + micronutrients. Irrigate at critical stages. Gap filling within 10 days
Jute,120-150 days,March-May (sowing),"N:60 kg/ha (20 basal + 10 at 20-25 DAS + 10 at 35-40 DAS), P:20 kg/ha, K:20 kg/ha. Apply FYM 5 t/ha at last ploughing",Seed treatment: Thiram 2.5g/kg. Insecticides: Quinalphos for hairy caterpillars. Spray 2% urea at 40-45 and 70-75 DAS in drought conditions,"Spacing: 30x7-10cm (line sowing). Seed rate: 5-6 kg/ha. Requires warm humid climate, 5-8cm weekly rainfall. Harvest when 50% plants flower. Retting takes 15-20 days"
Coffee,6-8 months (flowering to harvest),"Flowering: Feb-Apr, Harvest: Nov-Feb","Bearing plants: N:140-300g, P:55g, K:270g per vine/year. Apply in 2 splits (June & Sept). Include micronutrients Zn, B, Mo. Organic: 10kg FYM + vermicompost",Fungicides: Bordeaux mixture 1% for leaf rust. Insecticides: Quinalphos for white stem borer. Use Trichoderma as biocontrol agent,Spacing: varies by region. Requires 1500-2500mm rainfall. Shade management essential. Mulching with coffee husk/leaves. Remove suckers. Prune after harvest
Barley (Jau),110-140 days,Rabi (October-November),"N:60-80 kg/ha, P:40-50 kg/ha, K:30-40 kg/ha. Apply FYM 10 t/ha. Half N + full P,K as basal. Remaining N at tillering and flag leaf stage",Seed treatment: Thiram or Vitavax 2.5g/kg. Herbicides: Isoproturon for weed control. Fungicides: Propiconazole for rusts,"Spacing: 22.5cm row spacing. Seed rate: 100 kg/ha. Sow at optimum time. Irrigate at CRI, tillering, jointing, flowering, milk stage. Light soils preferred"
Sunflower (Surajmukhi),90-120 days,"Kharif (June-July), Rabi (Oct-Nov), Summer (Jan-Feb)","N:60-80 kg/ha, P:60-80 kg/ha, K:40-60 kg/ha. Apply FYM 12-15 t/ha. Half N + full P,K basal. Remaining N at 30 DAS. Foliar borax 0.2% at flowering","Seed treatment: Imidacloprid 5ml/kg. Insecticides: Chlorpyriphos for head borer. Fungicides: Mancozeb for rust, Ridomil for downy mildew",Spacing: 60x30cm. Seed rate: 8-10 kg/ha. Sow at 4-5cm depth. Critical irrigation stages: flowering and seed filling. Drain excess water. Harvest at physiological maturity
Sweet Potato (Shakarkandi),90-120 days,"Feb-Mar (summer), July-Aug (kharif)","N:50-60 kg/ha, P:50-60 kg/ha, K:80-100 kg/ha. Apply FYM 15-20 t/ha. All P, half N&K basal. Remaining at 30-40 DAS",Vine cuttings treatment: Mancozeb 0.3%. Insecticides: Chlorpyriphos for weevil. Fungicides: Bordeaux mixture for leaf spot,Spacing: 60x30cm. Use healthy vine cuttings 25-30cm long. Plant on ridges. Earthing up at 30 DAS. Irrigate at critical stages. Harvest when leaves turn yellow
Soybean (Soyabean),90-110 days,Kharif (June-July),"N:20-30 kg/ha, P:60-80 kg/ha, K:30-40 kg/ha, S:20-30 kg/ha. Apply FYM 5 t/ha. All as basal. Rhizobium fixes 60-80% N requirement",Seed treatment: Thiram 2g + Carbendazim 1g/kg + Rhizobium. Herbicides: Pendimethalin 1kg/ha. Insecticides: Quinalphos for girdle beetle and leaf eater,"Spacing: 45x5cm. Seed rate: 70-80 kg/ha. Inoculate with Rhizobium + PSB. Two-three irrigations at critical stages. Harvest when 95% pods mature, leaves drop"
Jowar (Sorghum),100-140 days,"Kharif (June-July), Rabi (Sep-Oct)","N:80-100 kg/ha, P:40-50 kg/ha, K:40 kg/ha. Apply FYM 10 t/ha. Half N + full P,K basal. Remaining N at 30-35 DAS","Seed treatment: Thiram 2.5g/kg. Insecticides: Chlorpyriphos for shoot fly, stem borer. Malathion for aphids. Systemic insecticides at boot stage","Spacing: 45x15cm. Seed rate: 10-12 kg/ha. Thin to 2 plants/hill. Irrigate at tillering, flowering, grain filling. Bird protection needed during maturity"
Potato (Aloo),90-120 days,"Rabi (Oct-Nov), Spring (Jan-Feb)","N:120-150 kg/ha, P:60-80 kg/ha, K:100-120 kg/ha. Apply FYM 20-25 t/ha. Full P&K + half N basal. Remaining N at earthing up (30 DAS)","Tuber treatment: Mancozeb 0.25%. Fungicides: Mancozeb for late blight, Metalaxyl for early blight. Insecticides: Imidacloprid for aphids, Cartap for tuber moth",Spacing: 60x20cm. Seed rate: 25-30 quintals/ha. Plant 5-10cm deep. Earthing up at 25-30 DAS. Irrigate at 7-10 day intervals. Dehaulm 10-15 days before harvest
Turmeric (Haldi),7-10 months,May-June (planting),"N:60 kg/ha, P:50 kg/ha, K:120 kg/ha + FYM 20 t/ha. Organic: 20t FYM + 2t Neem cake + 1t Ash + 4t vermicompost. Apply in 2-3 splits",Rhizome treatment: Mancozeb 0.3% or Trichoderma 4g/L. Spray Neem oil 0.5% for shoot borer. Bordeaux mixture 1% for leaf spot. Use Pseudomonas as biocontrol,Spacing: 30x25cm. Seed rate: 2500 kg/ha rhizomes. Plant in raised beds. Mulch with green leaves. Irrigate regularly. Earthing up 40-45 DAS. Harvest when leaves dry
Moong (Mung Bean/Green Gram),60-70 days,"Kharif, Rabi, Summer","Same as Mung Bean - N:15-20 kg/ha, P:30-40 kg/ha, K:20 kg/ha. SSP 100 kg/acre + Zinc Sulphate 4-6 kg/acre",Same as Mung Bean - Thiram 3g/kg + Rhizobium. Pendimethalin 30%. Imidacloprid for thrips/aphids,"Same as Mung Bean - Spacing 30x10cm, seed rate 15-20 kg/ha. Light irrigation at critical stages"
Onion (Pyaaz),120-150 days,"Kharif (June-July), Rabi (Oct-Dec)","N:100-120 kg/ha, P:50-60 kg/ha, K:60-80 kg/ha. Apply FYM 20-25 t/ha. Half N + full P&K basal. Remaining N in 2 splits at 30 & 45 DAT",Seedling treatment: Carbendazim 0.1%. Fungicides: Mancozeb for purple blotch. Insecticides: Malathion for thrips. Dimethoate for maggots,Spacing: 15x10cm. Transplant 6-8 week old seedlings. Light frequent irrigation. Stop irrigation 10-15 days before harvest. Harvest when tops fall and neck shrinks
Cabbage (Band Gobi),70-120 days (variety dependent),"Sep-Nov (plains), Mar-May (hills)","N:120-150 kg/ha, P:60-80 kg/ha, K:80-100 kg/ha. Apply FYM 20-25 t/ha. 40% N + full P&K basal. Remaining N in 2 splits at 30 & 45 DAT","Seedling treatment: Carbofuran 1kg/ha at transplanting. Insecticides: B.t. for diamond back moth, Malathion for aphids. Fungicides: Mancozeb for black rot","Spacing: 45x45cm (early), 60x45cm (late varieties). Transplant 4-6 week seedlings. Frequent irrigation. Earthing up at 30 DAT. Harvest when heads firm"
Ragi (Finger Millet/Nachni),110-140 days,"Kharif (June-July), Rabi (Sep-Oct)","N:50-75 kg/ha, P:40-50 kg/ha, K:25-37.5 kg/ha. Apply FYM 7.5 t/ha. Half N + full P&K basal. Remaining N at 30 DAS",Seed treatment: Thiram 2.5g/kg. Insecticides: Chlorpyriphos for shoot fly. Fungicides: Carbendazim for blast disease,"Spacing: 22.5x10cm. Seed rate: 10 kg/ha (transplanting), 40 kg/ha (direct seeding). Transplant 25-30 day seedlings. Irrigate at critical stages. Nutritious millet crop"
Rapeseed (Sarson),120-140 days,Rabi (October-November),"N:80-120 kg/ha, P:40-60 kg/ha, K:40 kg/ha, S:40 kg/ha. Apply FYM 10 t/ha. Half N + full P,K,S basal. Remaining N at 30-35 DAS and flowering","Seed treatment: Thiram 2g/kg. Insecticides: Quinalphos for aphids, Chlorpyriphos for sawfly. Fungicides: Mancozeb for Alternaria blight",Spacing: 30x10cm. Seed rate: 4-5 kg/ha. Sow at optimum time for avoiding aphids. Irrigate at flowering and pod filling. Harvest when pods turn brown
Wheat (Gehun),120-150 days,Rabi (November),"N:120-150 kg/ha, P:60 kg/ha, K:40 kg/ha. Apply FYM 10 t/ha. Full P&K + 1/3 N basal. 1/3 N at CRI, 1/3 at tillering/jointing","Seed treatment: Vitavax 2.5g/kg. Herbicides: 2,4-D for broadleaf weeds, Isoproturon for grassy weeds. Fungicides: Propiconazole for rusts","Spacing: 20-23cm row spacing. Seed rate: 100-125 kg/ha. Sow in Nov for timely, Dec for late sowing. Irrigate at CRI, tillering, jointing, flowering, milking, dough stages"
Horse Gram (Kulthi),120-180 days,"Kharif (June-July), Rabi (Sep-Oct)","N:25 kg/ha, P:50 kg/ha, K:12.5 kg/ha. Apply FYM 7.5 t/ha. All as basal. Being a legume, needs minimal N",Seed treatment: Thiram 2g/kg + Rhizobium. Insecticides: Chlorpyriphos for pod borer. Spray neem oil for eco-friendly pest control,Spacing: 30x10cm. Seed rate: 25-30 kg/ha. Drought tolerant crop. Suitable for poor soils. One or two irrigations if available. Harvest when pods mature
Coriander (Dhania),90-110 days,Rabi (October-November),"N:40-60 kg/ha, P:30-40 kg/ha, K:20-30 kg/ha. Apply FYM 10-15 t/ha. Half N + full P&K basal. Remaining N at 30 DAS",Seed treatment: Thiram 2.5g/kg. Insecticides: Malathion for aphids. Fungicides: Mancozeb for powdery mildew and wilt,Spacing: 30x10cm. Seed rate: 15-20 kg/ha. Soak seeds 24 hrs before sowing. Light irrigation at 10-15 day intervals. Harvest when seeds turn brown
Tomato (Tamatar),120-140 days (transplanting to harvest),"Kharif (June-July), Rabi (Oct-Nov), Summer (Jan-Feb)","N:120-150 kg/ha, P:80-100 kg/ha, K:80-100 kg/ha. Apply FYM 25-30 t/ha. 50% N + full P&K basal. Remaining N in 2 splits","Seedling treatment: Carbendazim 0.1%. Insecticides: Profenofos for fruit borer. Fungicides: Chlorothalonil for early blight, Mancozeb for late blight","Spacing: 60x45cm (determinate), 75x60cm (indeterminate). Transplant 4-5 week seedlings. Staking/trellising required. Drip irrigation + fertigation recommended"
Brinjal (Eggplant/Baingan),120-140 days,"Year-round (best: June-July, Oct-Nov)","N:100-150 kg/ha, P:50-75 kg/ha, K:50-75 kg/ha. Apply FYM 20-25 t/ha. 50% N + full P&K basal. Remaining N in splits at 30 & 60 DAT","Seed treatment: Trichoderma. Insecticides: Spinosad for fruit/shoot borer. Fungicides: Carbendazim for wilt, Mancozeb for phomopsis blight",Spacing: 75x60cm or 60x60cm. Transplant 5-6 week seedlings. Remove diseased plants. Harvest fruits at tender stage every 3-4 days. Long harvest period
Garlic (Lehsun),150-180 days,Rabi (October-November),"N:60-80 kg/ha, P:50-60 kg/ha, K:40-50 kg/ha. Apply FYM 20-25 t/ha. Full P&K + half N basal. Remaining N in 2 splits at 30 & 60 days",Clove treatment: Mancozeb 0.25% or Carbendazim 0.1%. Fungicides: Mancozeb for purple blotch. Insecticides: Dimethoate for thrips,Spacing: 15x10cm. Plant healthy cloves 2-3cm deep. Requires cool season. Light irrigation at regular intervals. Stop irrigation 2 weeks before harvest. Cure bulbs after harvest
Cardamom (Elaichi),2-3 years (first harvest from planting),"Year-round, harvest: Aug-Feb","N:75-120 kg/ha, P:75-120 kg/ha, K:150-240 kg/ha based on spacing. Apply FYM + Neem cake 2.9 t/ha. Apply in May-June and Sept-Oct",Insecticides: Quinalphos for thrips and shoot fly. Fungicides: Bordeaux mixture for leaf spot. Use biocontrol agents like Trichoderma,Spacing: 2x2m or 2x1m (high density). Plant during monsoon. Requires shade (50%). Mulching essential. Remove dried leaves. Harvest capsules at right maturity
Black Pepper (Kali Mirch),"3-4 years (first harvest), then continuous","Year-round bearing, harvest: Dec-Feb","N:50g, P:50g, K:150g per vine (young). Adult: 140g N, 55g P, 270g K per vine/year. Apply 10kg FYM + 500g Neem cake + Ash. Apply in May-June & Sept-Oct",Fungicides: Bordeaux mixture 1% for foot rot and diseases. Use Trichoderma 500g/vine/year as biocontrol. Spray Neem oil 0.5% for pests,"Spacing: 2-3m. Plant as cuttings near support trees. Requires 2000-3000mm rainfall. Proper drainage essential. Mulching important. Apply micronutrients (Zn, B, Mo)"
Bitter Gourd (Karela),55-60 days (first harvest),"Summer (Feb-Mar), Rainy (June-July)","N:60-80 kg/ha, P:40-50 kg/ha, K:40-50 kg/ha. Apply FYM 20 t/ha. Half N + full P&K basal. Remaining N at 30 DAS",Seed treatment: Trichoderma 4g/kg. Insecticides: Imidacloprid for fruit fly. Fungicides: Carbendazim for powdery mildew,Spacing: 2x1.5m or 2x1m. Seed rate: 4-5 kg/ha. Provide pandal/trellis support. Pinching main vine encourages branching. Harvest tender fruits every 2-3 days
Lady Finger (Okra/Bhindi),50-60 days (first picking),"Summer (Feb-Mar), Rainy (June-July)","N:60-80 kg/ha, P:40-50 kg/ha, K:40-50 kg/ha. Apply FYM 15-20 t/ha. Half N + full P&K basal. Remaining N in 2 splits",Seed treatment: Thiram 3g/kg. Insecticides: Profenofos for fruit borer and jassids. Fungicides: Carbendazim for yellow vein mosaic (YVM) vector control,"Spacing: 45x30cm (summer), 60x30cm (rainy). Seed rate: 20-25 kg/ha. Soak seeds 24 hrs before sowing. Harvest tender fruits every 2-3 days for continuous production"
Pineapple (Ananas),18-24 months (planting to harvest),Planting: May-July,"N:12-16g, P:4-6g, K:12-16g per plant per year in monthly splits. Apply FYM 5kg/plant/year. Foliar spray of micronutrients beneficial",Fungicides: Bordeaux mixture for heart rot. Insecticides: Malathion for mealy bugs. Use neem oil for organic management,"Spacing: 60x30cm (high density), 90x45cm (normal). Plant suckers/slips. Mulching with black plastic beneficial. Spray NAA 20ppm for uniform flowering"
Bottle Gourd (Lauki),60-75 days,"Summer (Jan-Mar), Rainy (June-July)","N:60-80 kg/ha, P:50-60 kg/ha, K:50-60 kg/ha. Apply FYM 20-25 t/ha. Half N + full P&K basal. Remaining N at 30 DAS",Seed treatment: Trichoderma 4g/kg or Carbendazim 2g/kg. Insecticides: Imidacloprid for aphids. Fungicides: Mancozeb for downy mildew,"Spacing: 2-3m between rows, 0.6-1m between plants. Provide pandal/trellis. Pinching after 6-7 leaves promotes branching. Harvest young fruits for better quality"
Jackfruit (Kathal),3-8 months (flowering to harvest),"Flowering: Jan-Mar, Harvest: May-Aug","Young trees: 200-400g N, 100-200g P, 200-400g K per year. Bearing trees: 500-750g N, 250-350g P, 1000-1500g K + 50kg FYM. Apply in 2 splits",Fungicides: Bordeaux paste for soft rot and dieback. Insecticides: Carbaryl for shoot and fruit borer. Remove affected parts,Spacing: 10-12m. Plant grafted seedlings. Mulching around base. Irrigation during dry periods. Remove water shoots. Fruits develop on trunk and branches
Pumpkin (Kaddu),90-120 days,"Summer (Feb-Apr), Rainy (June-July)","N:60-80 kg/ha, P:50-60 kg/ha, K:60-80 kg/ha. Apply FYM 20-25 t/ha. Half N + full P&K basal. Remaining N at 30 DAS",Seed treatment: Trichoderma or Carbendazim 2g/kg. Insecticides: Malathion for fruit fly. Fungicides: Mancozeb for powdery mildew,"Spacing: 2-3m between rows, 0.6-1m in row. Seed rate: 4-5 kg/ha. Can be grown trailing on ground or on pandal. Harvest when skin hardens and fruit fully mature"
Cauliflower (Phool Gobi),60-120 days (variety dependent),"Sep-Nov (plains), Mar-Apr (hills)","N:120-150 kg/ha, P:60-80 kg/ha, K:60-80 kg/ha. Apply FYM 25-30 t/ha. 40% N + full P&K basal. Remaining N in 2 splits at 30 & 45 DAT","Seedling treatment: Carbofuran at transplanting. Insecticides: B.t. for diamond back moth, Carbaryl for caterpillars. Fungicides: Mancozeb for black rot","Spacing: 45x45cm (early), 60x60cm (late). Transplant 4-6 week seedlings. Tie leaves over curd for blanching. Frequent irrigation. Harvest when curds compact and firm"
Cucumber (Kheera),50-70 days,"Summer (Feb-Mar), Rainy (June-July)","N:60-80 kg/ha, P:50-60 kg/ha, K:50-60 kg/ha. Apply FYM 20-25 t/ha. Half N + full P&K basal. Remaining N at 30 DAS","Seed treatment: Trichoderma 4g/kg. Insecticides: Imidacloprid for aphids. Fungicides: Mancozeb for downy mildew, Carbendazim for anthracnose","Spacing: 1.5-2m between rows, 0.6-1m in row. Provide support or allow trailing. Frequent irrigation. Harvest tender fruits at marketable size every 2-3 days"
Drumstick (Moringa/Sahjan),6-8 months (first harvest from planting),Planting: June-July,"Young plants: 50-100g N, 50g P, 50g K. Bearing trees: 200-300g N, 100-150g P, 200-250g K + 10-15kg FYM per tree. Apply in 2-3 splits",Insecticides: Quinalphos for pod fly and caterpillars. Fungicides: Bordeaux mixture for leaf spot diseases. Relatively pest-resistant crop,"Spacing: 2.5x2.5m. Plant seeds/cuttings. Annual variety: PKM 1, PKM 2 (60-90cm height, harvest after 90 days). Prune to maintain height. Multiple harvests possible"
Radish (Mooli),30-60 days (variety dependent),Year-round (best: Sep-Feb),"N:60-80 kg/ha, P:40-50 kg/ha, K:40-50 kg/ha. Apply FYM 15-20 t/ha. Half N + full P&K basal. Remaining N at 25-30 DAS",Seed treatment: Thiram 2g/kg. Insecticides: Malathion for aphids. Fungicides: Mancozeb for leaf spot. Minimal pest issues in this crop,"Spacing: 30x5-10cm (small), 45x10-15cm (large varieties). Seed rate: 8-12 kg/ha. Direct sowing. Thin seedlings after emergence. Frequent light irrigation. Harvest at right size"
